Customer_ID,Gender,Age,Remaining Rewards Points,Churn
102589558,Female,30,1880,0
102601274,Male,20,1930,0
102602943,Female,20,1560,0
102611396,Male,60,480,1
102667652,Female,50,340,1
102683874,Female,30,1240,1
102711225,Male,60,530,0
102734156,Male,60,185,0
102812373,Female,50,2570,0
102816401,Female,60,1250,0
102825328,Female,20,140,1
102830346,Female,40,530,0
102845760,Female,40,1010,0
102851556,Male,40,3800,0
102851624,Female,30,575,1
102865508,Female,30,670,0
102867120,Female,20,2750,0
102867205,Male,30,130,1
102895178,Male,60,200,1
102896663,Female,30,2810,0
102908465,Male,40,2990,0
102909042,Male,30,135,1
102915852,Male,20,2160,0
102950266,Male,50,500,1
102992280,Female,30,680,1
103040935,Male,20,495,1
103044070,Male,30,420,1
103045312,Female,20,530,1
103046876,Female,40,590,1
103088081,Female,30,3380,0
103131008,Male,50,120,0
103136959,Female,20,1730,0
103175439,Female,60,520,1
103195413,Female,20,1310,0
103207420,Male,40,1350,0
103223475,Female,40,900,0
103267141,Female,30,1560,0
103318362,Female,20,2680,0
103324264,Female,40,1010,0
103362020,Female,20,3510,0
103397404,Female,40,1720,0
103403013,Female,40,560,1
103413166,Female,40,1970,0
103439883,Male,20,390,1
103506752,Female,30,295,1
103526354,Female,40,960,0
103531600,Female,60,1400,0
103567937,Male,40,1500,0
103571347,Female,30,860,1
103579725,Female,20,1350,0
103595442,Male,40,660,1
103605950,Female,20,1790,0
103613320,Female,40,560,1
103616246,Male,30,410,1
103619209,Female,20,1150,0
103662540,Female,40,2440,0
103692493,Female,50,3340,0
103734162,Female,20,570,1
103747674,Male,20,440,1
103818763,Female,20,215,1
103845769,Female,20,1400,0
103850503,Female,50,690,0
103856772,Female,50,2230,0
103875094,Female,20,1110,0
103880654,Female,30,640,1
103922132,Female,20,2550,0
103926147,Female,40,1220,0
103942901,Female,40,560,1
103975244,Male,20,2000,0
103988633,Female,20,1570,0
104032533,Female,60,650,0
104033486,Female,20,1290,0
104056126,Female,20,1800,0
104056690,Male,50,1060,0
104067207,Male,40,700,1
104095439,Male,50,3430,0
104108474,Female,50,2380,0
104134824,Female,60,450,1
104145967,Male,20,1030,0
104194538,Female,60,490,1
104224563,Male,20,2100,0
104227113,Female,30,510,1
104255420,Female,20,2840,0
104265276,Female,30,1030,0
104276364,Female,20,790,1
104289739,Female,30,2240,0
104326113,Female,30,1280,0
104333357,Female,60,1020,0
104350231,Female,30,2500,0
104359838,Female,60,770,1
104379683,Female,60,300,1
104384199,Female,20,3790,0
104405801,Male,40,1470,0
104428770,Female,20,880,1
104450023,Male,30,720,0
104473145,Female,40,390,1
104481775,Male,30,1620,0
104483601,Male,50,3730,0
104489092,Female,30,1230,0
104521280,Female,40,550,0
104539254,Male,60,420,1
104579724,Male,60,290,1
104599081,Female,40,1270,0
104610076,Female,30,1530,0
104611721,Female,40,990,1
104618720,Male,40,440,1
104637455,Male,20,1290,1
104666141,Female,40,580,1
104668213,Female,20,400,0
104709527,Female,40,1730,1
104712817,Female,30,3120,0
104718833,Female,20,245,1
104718918,Female,20,690,1
104722052,Male,40,240,1
104729273,Female,20,420,1
104748670,Male,20,3230,1
104768166,Female,20,1260,0
104794714,Male,20,1740,0
104850762,Male,30,410,0
104873686,Female,20,1670,0
104903727,Female,20,950,1
104937951,Female,20,990,0
104962731,Female,20,210,1
104991007,Male,40,2790,0
105004935,Male,20,2250,0
105014767,Male,20,285,1
105022182,Female,30,1370,0
105045051,Male,20,2420,0
105080182,Female,30,370,1
105092604,Female,40,1410,1
105093861,Female,40,2280,0
105096565,Female,60,570,0
105102877,Female,40,840,1
105117161,Female,30,710,0
105129270,Male,30,3890,0
105133468,Female,30,1710,0
105143214,Male,40,210,0
105153190,Female,40,215,1
105155323,Male,50,1780,0
105160235,Male,40,520,1
105166602,Female,40,440,1
105203888,Female,20,2230,0
105243839,Female,30,1300,0
105248087,Female,20,1950,1
105265015,Female,60,310,1
105277407,Female,30,950,0
105297511,Female,30,1990,1
105319497,Female,30,1570,0
105336456,Male,20,480,1
105342402,Female,40,1380,0
105342815,Male,30,2320,0
105349418,Male,40,1500,0
105384440,Female,40,1050,1
105390649,Male,30,750,1
105457694,Female,20,4680,1
105466924,Male,40,4840,0
105514373,Male,30,760,0
105526963,Female,30,450,0
105528660,Male,40,1270,0
105566136,Female,20,2920,0
105570836,Male,40,2400,0
105597826,Male,50,355,0
105687619,Female,30,910,0
105697410,Male,50,1800,0
105702374,Female,30,920,0
105705214,Male,40,2110,0
105714469,Female,20,390,1
105734726,Male,30,1840,0
105766277,Female,60,2460,0
105779802,Female,40,1360,0
105807789,Female,20,1970,0
105867943,Female,30,160,0
105871469,Female,20,310,1
105877225,Female,60,570,1
105911912,Female,30,1110,0
105912971,Female,40,1300,0
105916115,Female,30,1440,0
105930401,Female,30,2700,1
105955183,Male,30,490,0
106018368,Female,60,600,1
106032678,Female,30,315,1
106053086,Female,30,260,0
106071592,Female,40,2690,0
106088354,Male,60,370,1
106138783,Female,60,1390,0
106166496,Female,60,270,1
106174453,Female,20,460,1
106181208,Female,40,235,1
106200343,Female,40,1700,0
106200732,Male,50,1200,1
106211363,Female,60,2820,1
106227234,Male,50,2780,0
106306243,Female,20,4730,0
106318642,Male,20,940,0
106345914,Female,50,800,1
106396381,Male,30,1700,0
106442002,Male,30,2570,0
106477158,Female,60,1740,0
106507619,Female,20,460,0
106524074,Male,30,3310,0
106527402,Female,20,140,1
106537944,Female,20,2310,1
106562595,Female,30,745,0
106567330,Male,30,305,1
106594015,Female,20,435,0
106596576,Male,20,980,0
106624811,Female,40,830,0
106636050,Male,30,260,1
106661793,Female,30,110,1
106662677,Female,40,980,0
106664374,Female,30,1120,1
106666415,Male,30,3070,0
106688677,Male,40,850,0
106699260,Female,20,550,1
106706548,Female,20,1630,1
106718220,Female,60,1890,0
106732318,Female,40,810,1
106744717,Female,20,1230,1
106754938,Female,50,2540,1
106757120,Female,50,1540,0
106758264,Female,60,500,1
106776251,Male,30,1700,1
106794972,Female,40,1460,1
106797409,Female,20,2820,0
106815585,Female,20,1400,0
106821227,Female,20,165,1
106824327,Male,30,770,1
106853617,Female,20,2700,0
106875862,Female,30,840,1
106884130,Female,40,1900,1
106908720,Female,20,1140,0
106917678,Female,20,340,1
106931964,Female,30,980,1
106943066,Male,60,410,1
106952228,Male,60,580,1
106969424,Female,20,330,1
107026089,Female,20,1950,0
107049613,Female,30,1940,1
107100215,Female,60,370,1
107126154,Female,20,1640,0
107201974,Female,60,850,1
107208119,Female,20,100,0
107251788,Female,30,790,0
107258732,Male,50,885,1
107266294,Male,30,145,1
107272844,Female,40,860,0
107279102,Male,40,1170,0
107308710,Female,30,1230,0
107309502,Male,30,1930,0
107392009,Female,50,1690,0
107402746,Male,40,260,1
107403927,Female,60,1050,0
107407178,Female,30,3280,0
107412097,Female,40,715,1
107417993,Female,20,2280,0
107451065,Male,60,520,1
107494659,Female,50,1210,1
107519918,Female,40,1680,0
107527357,Female,30,720,1
107581816,Female,30,1910,0
107620546,Male,40,655,1
107634154,Female,30,5110,0
107648717,Male,60,580,0
107676208,Male,60,405,1
107794339,Female,40,2590,0
107843617,Male,20,950,1
107852541,Male,20,1010,0
107854835,Male,20,810,0
107862359,Female,60,1860,0
107903069,Male,20,1280,0
107903205,Female,30,335,1
107918155,Female,50,890,1
107923722,Male,20,460,1
107935978,Male,40,1700,1
107938849,Female,40,2020,0
107995941,Female,20,260,0
108004635,Female,20,575,1
108056306,Female,60,285,1
108085092,Male,40,1380,0
108121912,Male,20,770,0
108144157,Female,60,450,1
108164704,Male,20,2050,0
108172143,Female,30,360,1
108189653,Female,60,795,1
108200488,Female,30,1620,0
108261120,Male,40,2180,1
108264930,Female,20,2110,0
108271723,Female,60,225,1
108276810,Male,30,2220,1
108277053,Male,30,510,1
108330161,Female,60,175,1
108340245,Female,20,880,0
108378194,Female,20,780,0
108424310,Male,20,550,1
108428745,Male,20,300,0
108429063,Female,50,1840,0
108463975,Female,40,2070,0
108475282,Male,60,780,0
108488725,Female,20,2210,0
108493156,Female,40,3530,1
108509543,Female,40,700,1
108551078,Female,20,690,1
108580016,Female,60,720,0
108621184,Female,30,510,1
108649423,Female,40,1860,1
108678089,Female,40,330,1
108701879,Male,30,850,0
108716729,Female,40,1280,0
108735430,Female,50,430,1
108781413,Female,20,540,1
108788443,Female,20,1500,0
108799197,Female,30,340,1
108830708,Male,20,290,1
108839824,Male,20,300,1
108844743,Female,20,2860,0
108945891,Female,50,1260,0
108958976,Male,20,870,0
108981264,Female,20,1920,0
108985736,Female,30,680,1
108989772,Female,20,590,1
108993588,Female,50,3990,0
109007123,Male,20,1920,0
109010017,Female,60,450,0
109085817,Female,40,1250,0
109120303,Female,30,1730,0
109124189,Female,50,110,1
109130753,Female,60,820,1
109140158,Female,50,1280,0
109140165,Female,60,420,1
109169982,Male,40,1820,0
109191914,Male,20,1020,0
109201996,Female,60,930,1
109202429,Female,30,465,1
109230071,Female,40,850,1
109261662,Male,30,195,1
109264076,Male,20,650,1
109271159,Female,60,460,1
109275324,Male,60,470,1
109279148,Male,30,1550,0
109284678,Female,20,1650,0
109304376,Male,20,400,0
109317062,Female,50,1370,0
109337114,Male,30,1220,0
109409163,Male,40,1190,0
109451674,Male,40,570,0
109476516,Male,60,255,1
109480148,Female,40,1600,0
109543171,Female,30,750,1
109567979,Male,30,1720,0
109586291,Male,50,880,0
109662704,Male,20,3310,0
109670549,Female,20,1280,0
109687301,Female,60,1890,0
109690677,Female,60,780,1
109702318,Female,60,520,1
109733978,Female,20,390,1
109738461,Female,30,1090,0
109754515,Male,60,660,1
109775398,Male,20,2610,0
109777798,Female,30,285,1
109788756,Female,30,820,0
109792159,Female,30,870,0
109805873,Female,20,1050,1
109850347,Female,30,2090,0
109860278,Female,30,1390,0
109941472,Female,30,280,1
109957657,Male,40,810,0
109962545,Female,60,1750,0
110022559,Female,40,1850,0
110023143,Female,20,540,0
110033098,Male,40,350,0
110046272,Male,20,1890,0
110059326,Female,20,3040,1
110065129,Male,60,115,1
110067994,Male,40,670,0
110127896,Male,50,430,1
110167939,Male,20,210,0
110232002,Female,30,1690,0
110242346,Female,60,2420,0
110248195,Female,30,440,1
110262702,Male,30,195,1
110276778,Male,30,170,1
110277690,Female,20,900,0
110292952,Female,30,3840,0
110306833,Male,20,540,1
110314210,Female,60,1350,0
110346990,Female,30,690,0
110356593,Female,20,1570,0
110382974,Male,20,3300,0
110385692,Female,30,1390,0
110392409,Female,20,170,1
110429488,Female,20,285,1
110430064,Male,20,590,1
110433218,Female,40,470,0
110466278,Male,60,310,0
110469637,Male,60,1770,0
110475416,Female,60,290,1
110484807,Female,20,1520,0
110512388,Male,40,250,1
110518342,Female,40,740,1
110533659,Male,50,870,0
110539125,Male,20,860,0
110548578,Male,50,345,1
110615379,Female,20,1970,0
110646281,Female,40,1750,0
110651803,Female,40,820,0
110654118,Male,30,290,1
110672877,Female,20,900,0
110680179,Female,40,2850,0
110703359,Female,30,1110,0
110704493,Female,20,150,1
110713969,Male,30,370,1
110740651,Male,60,220,1
110762264,Female,30,2080,0
110765197,Female,30,310,1
110804667,Male,20,490,1
110814352,Male,30,610,1
110825556,Male,20,2000,0
110856284,Female,50,370,1
110857380,Male,20,590,1
110961797,Male,20,510,1
111091936,Female,20,280,1
111116158,Female,30,115,1
111123590,Female,20,340,1
111148371,Male,60,440,1
111159506,Female,40,1850,0
111266495,Female,30,310,1
111287940,Female,40,3660,0
111288015,Female,20,480,1
111305545,Female,60,190,1
111325321,Female,20,6080,0
111338925,Female,40,310,1
111348436,Female,20,890,0
111382676,Female,30,1780,0
111408680,Female,60,1670,0
111413196,Female,20,1900,0
111416005,Female,60,470,1
111428176,Female,40,460,1
111457688,Female,50,2060,0
111471653,Female,60,360,1
111477327,Male,20,1070,0
111486008,Female,50,730,1
111501015,Female,20,410,1
111522324,Female,60,290,1
111523802,Female,30,2630,0
111526216,Male,30,1410,0
111546177,Female,20,860,0
111549048,Female,50,670,0
111574491,Female,20,1790,0
111587187,Female,30,680,1
111594857,Female,20,780,1
111602040,Male,50,1030,0
111615590,Male,40,990,1
111667322,Female,30,1320,0
111724001,Female,50,640,1
111757696,Female,20,1970,0
111780069,Female,40,1300,0
111798088,Female,40,1120,0
111877349,Female,20,400,1
111882411,Male,50,455,1
111952435,Female,20,170,1
111978923,Female,50,340,1
112042425,Male,50,210,1
112062768,Female,30,1370,0
112073467,Female,30,2040,1
112075010,Female,30,210,1
112080052,Female,60,2210,0
112110636,Female,40,950,1
112128983,Female,50,2000,1
112141616,Female,20,2710,0
112146390,Female,20,950,0
112166367,Female,60,370,1
112187065,Female,30,1170,1
112203109,Female,20,100,1
112233861,Female,60,210,1
112281602,Female,20,2060,0
112301607,Female,30,2640,0
112315550,Female,20,245,0
112316601,Female,40,1310,0
112328123,Female,40,1390,0
112382965,Female,20,800,1
112387809,Female,30,720,1
112411580,Female,20,2250,0
112412723,Male,40,860,0
112491254,Female,50,200,1
112499854,Female,20,970,0
112531370,Male,30,210,1
112535545,Male,60,600,1
112573493,Male,20,2460,0
112594979,Male,30,810,0
112602216,Female,20,1730,0
112706594,Female,40,2910,0
112711307,Female,50,430,0
112743926,Male,30,595,1
112746927,Female,50,595,1
112760251,Male,20,4200,1
112770632,Female,20,4240,0
112797578,Male,60,830,0
112805983,Female,30,255,0
112819645,Male,60,175,1
112896226,Male,20,1210,0
112898121,Male,40,970,0
112900367,Female,30,400,0
112920877,Female,40,1970,0
112931101,Female,40,610,1
112943982,Male,20,2020,0
112944149,Female,50,540,0
113008826,Female,30,1570,0
113044886,Female,40,1920,0
113087616,Female,40,4550,1
113088989,Female,40,4210,0
113104504,Male,20,2410,0
113152550,Female,40,980,0
113152857,Female,40,440,0
113181185,Female,30,4850,0
113210977,Male,20,1880,0
113246594,Female,20,130,1
113267735,Female,20,920,0
113271954,Female,20,2920,0
113273033,Female,20,1410,0
113276171,Female,20,740,0
113279721,Male,30,1150,1
113297152,Male,30,3010,0
113490966,Female,60,580,1
113500788,Female,30,1570,0
113556907,Female,40,730,0
113589691,Female,20,1100,0
113592660,Female,20,530,1
113599669,Male,40,120,1
113606220,Male,30,110,1
113646226,Male,30,2810,0
113651770,Female,40,3870,0
113675004,Male,60,1090,0
113681722,Female,30,1870,0
113685287,Male,30,1220,0
113721435,Female,40,1870,0
113736781,Male,40,510,1
113737146,Female,30,2590,0
113760373,Male,60,680,0
113770280,Male,60,105,1
113811389,Female,40,1090,1
113826871,Female,60,160,0
113827212,Female,20,1890,0
113858544,Female,30,820,0
113865894,Female,20,1800,0
113882099,Male,20,1380,0
113882532,Female,20,575,0
113900533,Female,40,820,0
113984823,Female,30,920,0
114014017,Female,20,780,1
114042881,Female,60,430,1
114051319,Male,20,320,1
114051326,Female,20,140,1
114060298,Female,30,430,1
114066504,Female,20,520,0
114174681,Female,20,1130,0
114229350,Female,20,2930,0
114298318,Female,40,290,1
114330643,Male,30,1660,1
114386633,Female,30,2990,1
114427879,Female,40,680,1
114441554,Female,30,1510,0
114442483,Male,40,1910,1
114458224,Male,50,2200,0
114477324,Female,20,3270,0
114519512,Female,20,5630,0
114545634,Male,40,490,1
114559372,Male,30,290,1
114562327,Male,60,500,1
114564741,Female,20,1940,1
114604010,Female,20,330,1
114627040,Male,40,1020,0
114628313,Male,40,1330,0
114651113,Female,30,1090,0
114721458,Female,20,1290,1
114774478,Female,60,825,0
114790539,Female,30,1560,0
114856464,Female,60,450,1
114888106,Female,30,2340,0
114888144,Female,40,2080,0
114890253,Male,30,175,1
114896781,Female,30,230,0
114915079,Female,20,1170,0
114920752,Male,20,180,1
114950131,Female,40,1040,0
114954276,Male,30,2900,0
114972492,Female,60,290,1
114973109,Male,50,40,1
114975011,Male,40,440,1
114987281,Male,20,620,0
114992902,Female,50,3670,0
114998256,Male,30,1550,0
115064899,Female,60,840,1
115114365,Female,60,680,1
115149404,Female,30,4070,0
115160256,Male,40,310,1
115177346,Female,60,2600,0
115201775,Female,50,420,0
115203779,Female,30,960,0
115206435,Female,40,745,1
115208507,Male,40,1720,0
115217462,Female,60,980,0
115238672,Male,20,340,1
115244611,Male,60,250,0
115255860,Female,30,90,1
115291080,Male,20,1030,0
115353467,Female,30,1840,1
115366375,Female,40,1510,0
115390226,Female,30,65,1
115391148,Male,20,1130,1
115398857,Female,20,1030,0
115401311,Male,30,650,1
115410061,Female,30,2830,0
115447968,Female,20,800,0
115452603,Female,40,410,1
115454447,Male,60,3150,0
115466020,Male,40,240,1
115542601,Female,40,2880,0
115596369,Female,20,1470,1
115607836,Male,30,1350,0
115632135,Male,60,340,1
115668639,Male,30,1110,1
115671646,Female,30,150,1
115704337,Female,20,810,0
115724502,Male,20,1310,1
115733092,Female,20,400,1
115749321,Female,60,620,1
115767646,Female,60,510,1
115778710,Female,50,315,1
115780614,Male,30,2260,1
115780973,Male,30,1860,0
115794239,Male,60,550,1
115818973,Female,30,625,1
115837462,Female,20,640,1
115837769,Female,30,1640,0
115850157,Female,20,200,1
115867346,Female,40,490,1
115890429,Male,30,1290,0
115915795,Female,20,2010,0
115958419,Male,40,4930,0
115959195,Male,30,2150,0
115972248,Female,60,1530,0
116046153,Female,60,1035,1
116094390,Female,30,690,1
116125599,Female,40,155,1
116160880,Female,20,380,1
116179905,Female,20,1800,0
116215931,Male,30,570,1
116276291,Female,30,510,1
116279636,Female,60,960,0
116291089,Male,30,840,0
116342125,Female,20,1820,0
116356405,Female,40,420,1
116360389,Male,20,3560,1
116373518,Female,30,570,0
116376182,Female,40,1330,0
116417588,Female,60,1230,0
116436909,Male,40,1500,1
116453524,Female,50,830,0
116479470,Male,40,930,0
116481886,Female,20,1400,0
116487925,Female,20,740,0
116491335,Female,40,490,0
116492813,Female,20,1020,1
116518278,Male,30,2290,0
116558526,Female,30,2060,0
116560499,Female,40,730,1
116581296,Male,20,1320,1
116597266,Male,30,1650,0
116599307,Female,20,2730,1
116631663,Female,40,720,0
116674677,Female,40,2610,0
116681132,Female,60,1000,1
116698413,Male,20,1380,0
116701458,Female,40,880,0
116708051,Female,40,1350,0
116719026,Female,30,760,1
116730953,Female,40,1170,0
116750760,Male,50,235,1
116753211,Female,20,2310,1
116767188,Male,20,900,0
116780668,Male,40,1710,0
116782150,Male,20,1220,1
116787193,Female,30,870,1
116795419,Female,40,1750,0
116806641,Female,20,2300,0
116806917,Male,30,1910,0
116845770,Female,30,1480,1
116864627,Male,40,1480,1
116873971,Female,30,1150,0
116910539,Female,20,2000,0
116928091,Male,40,470,1
116950078,Female,20,370,1
116981416,Female,20,425,1
116991873,Female,30,940,0
117019583,Male,30,250,1
117045421,Female,40,1040,1
117046220,Female,50,2640,0
117058650,Female,30,660,1
117059848,Female,60,810,0
117069014,Female,20,1000,0
117075688,Female,40,500,1
117080538,Female,60,1440,0
117085175,Female,20,1185,1
117088947,Female,60,470,1
117114868,Female,60,360,1
117121002,Female,30,510,0
117127486,Female,20,3910,0
117132190,Male,40,1270,0
117136655,Female,20,320,1
117152396,Female,40,2200,0
117157728,Female,20,280,0
117162043,Female,20,830,0
117164450,Male,20,1030,0
117192811,Female,20,435,1
117197861,Female,20,1070,0
117223294,Female,20,565,0
117226011,Male,40,570,1
117262828,Male,50,1580,0
117266529,Male,20,2410,0
117298063,Female,20,1370,0
117320863,Female,40,1330,0
117337397,Female,40,480,1
117357432,Male,20,2330,0
117359849,Female,20,950,1
117381680,Female,50,2170,0
117390637,Male,40,240,1
117435741,Female,30,45,1
117452731,Female,40,1450,0
117456425,Male,40,290,1
117459617,Male,20,600,1
117465427,Female,30,350,0
117520232,Female,20,1150,0
117534437,Female,50,1680,0
117536264,Female,30,1610,0
117551885,Female,30,630,1
117595582,Female,50,870,0
117613026,Female,60,390,1
117641722,Male,20,890,1
117659185,Male,20,820,1
117661911,Female,20,480,0
117749541,Female,50,370,1
117750950,Male,40,950,1
117751407,Female,40,880,1
117758918,Female,20,470,1
117807821,Female,50,1680,0
117810807,Female,60,570,1
117861908,Female,20,360,1
117908078,Male,40,470,0
117912860,Male,30,1060,0
117934060,Female,30,2590,0
117941518,Male,20,1770,0
117972031,Female,40,1150,1
117972697,Female,40,790,0
117978910,Male,20,1750,0
117993784,Male,40,830,0
118003819,Female,60,560,1
118039665,Male,60,690,1
118063257,Male,20,2160,1
118102208,Male,20,870,1
118133592,Male,20,2110,1
118135992,Female,60,1160,1
118188356,Female,60,545,1
118227826,Male,50,1240,1
118230765,Female,30,2130,0
118231557,Female,20,1110,0
118236019,Female,20,490,1
118256246,Male,20,105,1
118268324,Male,30,880,0
118281972,Female,20,2350,0
118285185,Female,20,120,1
118327007,Male,20,1840,0
118328561,Female,50,770,0
118362640,Male,20,180,1
118376296,Female,20,1070,0
118399790,Male,30,1100,1
118401189,Male,60,3400,0
118431131,Female,20,1830,1
118471465,Female,20,2650,0
118489743,Female,20,225,1
118491357,Female,20,1540,0
118538007,Female,20,2070,0
118545708,Male,20,1650,1
118615647,Female,20,1360,0
118638783,Female,30,1610,0
118639940,Female,20,1560,0
118644920,Female,20,550,0
118652055,Male,20,1700,0
118661798,Female,40,3620,0
118676617,Male,60,650,1
118677409,Female,30,2770,0
118687040,Female,40,210,1
118689266,Male,30,425,1
118695724,Female,60,470,1
118696561,Female,50,1270,0
118702620,Female,40,1700,1
118705348,Female,50,830,1
118718638,Female,40,1980,0
118738773,Male,30,1080,1
118835274,Female,60,210,1
118915679,Female,30,290,1
118923926,Male,30,2220,1
118939408,Female,20,245,1
118939538,Male,50,610,1
118939743,Female,30,1910,0
118968446,Female,60,790,0
118984842,Male,60,265,1
119015811,Male,50,220,1
119038421,Female,60,815,0
119043227,Female,40,330,1
119066981,Female,60,760,1
119074993,Female,20,1320,0
119082615,Male,40,440,0
119083346,Male,20,640,1
119150574,Female,40,1120,0
119195414,Male,20,1790,0
119206134,Female,40,880,0
119214962,Male,60,2830,0
119236537,Female,20,570,0
119276717,Female,30,340,1
119285542,Female,40,1560,0
119335384,Female,40,265,1
119360065,Male,60,520,0
119375915,Female,50,360,1
119376844,Female,20,700,0
119393254,Male,30,480,1
119409610,Male,20,790,1
119431147,Female,60,1830,0
119529639,Female,40,870,1
119602752,Male,20,235,1
119630458,Female,30,1450,1
119639901,Female,40,1160,0
119656526,Female,40,455,0
119686363,Male,60,710,1
119689319,Male,30,315,1
119693798,Female,20,1870,0
119712123,Male,30,680,0
119722399,Female,30,910,0
119753584,Male,30,860,0
119768786,Female,40,1260,0
119773179,Male,60,1530,0
119797977,Female,40,1080,0
119817941,Female,30,905,1
119825304,Female,20,540,0
119875613,Female,20,1250,1
119925691,Male,30,590,1
119956046,Female,40,1750,0
120005214,Male,20,4890,0
120036386,Female,60,970,0
120037918,Male,20,1010,0
120073428,Female,20,1350,0
120095369,Male,20,2610,0
120114060,Female,40,1910,0
120116699,Female,50,380,1
120122348,Male,20,1650,0
120124021,Female,60,205,1
120136260,Female,20,920,0
120165550,Female,40,600,0
120175375,Female,50,1390,0
120203047,Female,60,390,0
120212377,Male,40,1170,0
120217075,Male,20,100,1
120222710,Female,60,105,1
120235109,Female,40,185,1
120236847,Female,60,2010,0
120297022,Female,20,2630,0
120319786,Female,60,290,1
120330163,Male,30,920,0
120344764,Male,40,710,0
120384371,Female,20,3250,0
120385880,Female,30,1010,0
120417925,Male,30,1650,1
120426200,Male,40,3770,0
120441005,Female,50,1070,0
120443979,Male,20,1390,1
120455613,Male,40,510,1
120456504,Female,40,2100,0
120456573,Female,40,1240,0
120457358,Female,60,160,1
120472771,Male,30,1000,0
120487706,Female,20,1350,1
120499808,Male,30,580,0
120501501,Male,20,750,1
120534400,Female,20,370,1
120539504,Female,30,1200,0
120548940,Female,30,145,1
120550332,Female,60,490,1
120555436,Female,40,1420,1
120566470,Female,60,1360,0
120567750,Male,50,330,1
120569815,Female,40,300,1
120592295,Female,20,760,0
120594381,Female,60,255,1
120616328,Female,30,170,1
120667016,Female,20,645,1
120678838,Female,40,2780,0
120679989,Female,30,1760,0
120695354,Female,40,2180,0
120700157,Female,30,1050,0
120715113,Female,30,1270,0
120735647,Male,20,1090,0
120736514,Male,20,590,1
120738273,Female,50,4270,1
120761233,Male,30,1560,0
120762384,Male,40,580,1
120767518,Female,60,1150,1
120808204,Female,30,1340,0
120829735,Female,60,1300,0
120831684,Female,20,400,1
120834791,Female,60,2100,0
120865672,Female,20,1160,1
120904210,Female,20,1070,0
120916602,Male,40,340,1
120949402,Female,30,380,1
